authors,dates,statements,sources,targets,FinalTarget,BinaryTarget
Katelyn Ferral,"January 19, 2024",“Any type of ground or processed meats have human flesh in them.”,Facebook posts,pants-fire,Fake,0
Paul Specht,"January 19, 2024",Police made ‘no arrests’ of protesters who blocked Durham Freeway,Thom Tillis,false,Fake,0
Madison Czopek,"January 19, 2024","“Illegal immigrants now have the right to vote in New York.""",Instagram posts,false,Fake,0
Madison Czopek,"January 19, 2024","""Imágenes del ataque hutí al barco estadounidense porta contenedores M/V Gibraltar Eagle en el mar rojo""",X posts,false,Fake,0
Sofia Ahmed,"January 19, 2024",Vaccines that are routinely given to children contain unsafe amounts of aluminum.,Instagram posts,false,Fake,0
Louis Jacobson,"January 19, 2024","Donald Trump “proposed when he was president” that “he wanted to raise the gas tax up to 25 cents.""",Nikki Haley,barely-true,Fake,0
Louis Jacobson,"January 19, 2024","“Every booster you take, you’re more likely to get COVID as a result of it.”",Ron DeSantis,false,Fake,0
Kwasi Gyamfi,"• January 19,","Congress has passed a $6,400 subsidy for low-income Americans.",Facebook posts,false,Fake,0
Hope Karnopp,"January 19, 2024","“Bryan Steil is part of a group that wants to cut Social Security and Medicare, that would be devastating.”",Opportunity Wisconsin,barely-true,Fake,0
Jeff Cercone,"January 18, 2024",World Economic Forum event is evidence that global leaders are planning a new pandemic called Disease X.,Instagram posts,false,Fake,0
Sara Swann,"January 18, 2024",President Joe Biden said he will “send F-15s” to “wage war against Texas.”,TikTok posts,false,Fake,0
Marta Campabadal,"• January 18,","En Florida ""se ha aprobado un nuevo programa regulado por el estado, diseñado para cubrir los gastos funerales y está disponible para todas las personas mayores de 35 años"".",Facebook posts,false,Fake,0
Samantha Putterman,"January 18, 2024",“Haley’s plan cuts Social Security benefits for 82% of Americans.”,Donald Trump,false,Fake,0
Maria Briceño,"January 18, 2024","""Es un día triste para España: decimos adiós a Felipe VI"".",Facebook posts,pants-fire,Fake,0
Sofia Ahmed,"January 17, 2024",Lil Nas X was accepted to Liberty University in Christian Leadership and Biblical Studies.,Instagram posts,false,Fake,0
Katelyn Ferral,"January 17, 2024",A possible measles exposure at Dulles and Reagan airports is related to “Disease X.”,TikTok posts,false,Fake,0
Maria Briceño,"January 17, 2024",“El nuevo Programa de Alivio de Impuestos está ayudando a miles de hispanos a que por fin puedan liquidar sus impuestos de una vez por todas”.,Facebook posts,false,Fake,0
Sara Swann,"January 17, 2024","Video shows President Joe Biden promoting a $6,400 government subsidy.",Facebook posts,false,Fake,0
Kwasi Gyamfi,"• January 17,",Suggests there have been 17 million deaths from the COVID-19 vaccines.,Instagram posts,false,Fake,0
Grace Abels,"January 17, 2024","Women ""store DNA"" from all their male sexual partners.",Instagram posts,false,Fake,0
Jeff Cercone,"January 17, 2024",Abraham Lincoln’s coin is copper because he ended slavery. Figures on other U.S. coins “face left because they turned their backs to him in protest.”,Instagram posts,false,Fake,0
Ricardo Torres,"January 17, 2024","""Bucks star Giannis Antetokounmpo signed a three-year contract for $186 million. He and his family, being African American, could receive benefits under affirmative action.”",Dave Murphy,barely-true,Fake,0
Madison Czopek,"January 16, 2024",Video shows a “US-owned cargo ship was just hit by a missile off the coast of Yemen!”,Instagram posts,false,Fake,0
Sofia Ahmed,"January 16, 2024",Video shows Kelly Clarkson endorsing a natural weight loss product.,Facebook posts,false,Fake,0
Amy Sherman,"January 16, 2024",“This is the third time we’ve won but this is the biggest win” in Iowa caucus.,Donald Trump,false,Fake,0
Grace Abels,"January 12, 2024",U.S. tax dollars “have gone to promote transgenderism in Bangladesh.”,Ron DeSantis,half-true,Real,1
Katelyn Ferral,"January 12, 2024","CNN reported that Dr. Ben Carson has discovered a natural cure for headaches, cholesterol levels and blood pressure symptoms.",Facebook posts,false,Fake,0
Katelyn Ferral,"January 12, 2024","A juice of carrots, cucumbers and garlic will ""restore perfect vision in seven days.”",Facebook posts,false,Fake,0
Madison Czopek,"January 12, 2024","In Palm Springs, California, “transgender residents to receive a monthly payment of $900.”",Instagram posts,barely-true,Fake,0
Maria Briceño,"January 12, 2024","Video muestra ""muñeco de niño palestino hecho en Israel”.",TikTok posts,false,Fake,0
Sofia Ahmed,"January 12, 2024",A video showing an orb exploding Jan. 1 at a Miami mall is proof that the Blue Beam project started.,Instagram posts,pants-fire,Fake,0
Amy Sherman,"January 12, 2024",“That’s why they are allowing these people to come in — people that don’t speak our language — they are signing them up to vote.”,Donald Trump,pants-fire,Fake,0
Maria Briceño,"January 12, 2024",Bloodied Palestinian baby doll was “made in Israel.”,Instagram posts,false,Fake,0
Maria Briceño,"January 12, 2024","Video muestra al Dr. Juan Rivera hablando sobre ""un método secreto sobre cómo perder peso rápidamente sin necesidad de hacer dieta o ir al gimnasio”.",Facebook posts,false,Fake,0
Sara Swann,"January 12, 2024",“The racial wealth gap is the smallest it’s been in 20 years.”,Joe Biden,half-true,Real,1
Sophia Voight,"January 12, 2024","“Our government, wrongly, is saying if you’re born in this country you’re automatically an American citizen.”",Glenn Grothman,false,Fake,0
Sofia Ahmed,"January 11, 2024",Zombie deer virus is sweeping across 32 states after more than 100 million American wildlife animals were vaccinated by Mark Zuckerberg’s foundation.,Instagram posts,false,Fake,0
Maria Ramirez,"• January 11,","“We’ve had 8 million” immigrants come to the U.S. illegally under Biden “and they only sent back 142,000.”",Nikki Haley,barely-true,Fake,0
Marta Campabadal,"• January 11,","""El papa Juan Pablo II aparece varias veces en los vuelos hacia la isla Epstein"".",TikTok posts,false,Fake,0
Sofia Ahmed,"January 11, 2024",Tom Hanks converts to Judaism and flees to Israel following the release of the Epstein documents,TikTok posts,false,Fake,0
Kwasi Gyamfi,"• January 11,",Federal food assistance recipients and their children can get “a free passport” by using a specific waiver form.,Facebook posts,false,Fake,0
Marta Campabadal,"• January 11,",“Biden’s let in 8 million people just in four years.”,Ron DeSantis,barely-true,Fake,0
Kwasi Gyamfi,"• January 10,",“BREAKING – A large convoy of trucks just breached the U.S. border patrol checkpoint in Arizona.”,TikTok posts,false,Fake,0
Jeff Cercone,"January 10, 2024",Nikki Haley is ineligible to be president or vice president.,Facebook posts,pants-fire,Fake,0
Sara Swann,"January 9, 2024",Dr. Oz endorsed gummies to “clean blood vessels” and treat high blood pressure.,Facebook posts,false,Fake,0
Jeff Cercone,"January 9, 2024",Video of avalanche shows the “power of nature.”,Instagram posts,false,Fake,0
Maria Briceño,"January 9, 2024",“Imágenes misteriosas muestran 'criatura de tipo alienígena de 10 pies de altura' flotando sobre los policías de Miami.”,Facebook posts,pants-fire,Fake,0
Madison Czopek,"January 8, 2024",“Nationwide data reveals surging levels of newest COVID strain in water supply.”,Breitbart,false,Fake,0
Samantha Putterman,"January 8, 2024","Nikki Haley “says the retirement age at 65 is way too low, it must be much higher.”",Donald Trump,half-true,Real,1
Sara Swann,"January 8, 2024","Police responded to alien creatures at a Miami mall on Jan. 1, 2024.",Instagram posts,pants-fire,Fake,0
Louis Jacobson,"January 8, 2024","In Florida, “income growth is top of the chart.”",Ron DeSantis,half-true,Real,1
Sarah Bahari,"January 8, 2024","Says FBI Director Christopher Wray told Congress “that with the border wide open and a war in Israel, Hamas can just walk right in.”",Mark Green,false,Fake,0
Maria Briceño,"January 5, 2024",Nikki Haley “opposed Trump’s border wall” and “Trump’s travel ban.”,Donald Trump,false,Fake,0
Amy Sherman,"January 5, 2024","""In actuality, there is no evidence Joe Biden won” the 2020 election, citing a report’s allegations from five battleground states.",Donald Trump,pants-fire,Fake,0
Marta Campabadal,"• January 5,","""¡El Gobierno Federal aprobó la Orden Ejecutiva 14009 que apoya seguro médico de $0 mensuales para hispanos en la inscripción del 2024!""",Facebook posts,false,Fake,0
Amy Sherman,"January 5, 2024","“Almost a million people, mostly Democrats, have been kicked off the voter roll here in Florida” because of efforts to place a proposed amendment on abortion access on the state’s 2024 ballot.",TikTok posts,barely-true,Fake,0
Louis Jacobson,"January 5, 2024","“Right now, over 70% of federal employees are still working from home three years after COVID.""",Nikki Haley,barely-true,Fake,0
Jeff Cercone,"January 4, 2024","T-Mobile plans to fine its customers up to $3,500 for text messages it doesn't like.",TikTok posts,false,Fake,0
Jeff Cercone,"January 4, 2024","Jimmy Kimmel was on the Jeffrey Epstein list, documents show.",X posts,pants-fire,Fake,0
Sara Swann,"January 4, 2024","Video shows Hillary Clinton blamed various events, including her 2016 election loss and Jeffrey Epstein’s death, on climate change.",Instagram posts,pants-fire,Fake,0
Louis Jacobson,"January 4, 2024",Gov. Ron DeSantis “called China ‘Florida’s most important trading partner.’”,SFA Fund,false,Fake,0
Maria Ramirez,"• January 4,","Donald Trump “deported less, believe it or not, than Barack Obama even did.""",Ron DeSantis,true,Real,1
Kwasi Gyamfi,"• January 4,",Video shows Trump promising to pause student loan payments and cancel payroll tax if reelected in 2024.,Instagram posts,false,Fake,0
Maria Briceño,"January 4, 2024",El Dr. Sanjay Gupta sufrió “un atentado” por crear un nuevo medicamento para el dolor articular.,Facebook posts,false,Fake,0
Loreben Tuquero,"January 3, 2024","Elon Musk developed “Cosmo Heater,” a product that would cut heating costs “to basically $0.”",Facebook posts,false,Fake,0
Sara Swann,"January 3, 2024",Dr. Ben Carson endorsed CBD gummies to treat high blood pressure.,Facebook posts,false,Fake,0
Jill Terreri,"• January 1,",Under New York’s Clean Slate Act “violent crimes … will now be automatically sealed after a set time - like they never happened.”,Nick LaLota,barely-true,Fake,0
Laura Schulte,"December 29, 2023",“Wisconsin utilities have charged ratepayers more than $1.9 billion of increases since 2019.”,Americans for Prosperity,false,Fake,0
Vanessa Swales,"December 22, 2023","Gov. Tony Evers and Democrats ""rejected our (Iowa model redistricting) proposal to enact the very plan they originally endorsed.""",Robin Vos,mostly-true,Real,1
Kwasi Gyamfi,"• December 21,",Elon Musk invented an energy-saving device that could “cut electricity bills by 80%.”,Facebook posts,pants-fire,Fake,0
Loreben Tuquero,"December 21, 2023",Hunter Biden’s “prison term announced.”,Facebook posts,false,Fake,0
Amy Sherman,"December 21, 2023",“They want to make our Army tanks all electric.”,Donald Trump,false,Fake,0
Marta Campabadal,"• December 21,","""Los pasajeros de un avión cantan para ayudar a calmar a un hombre con Alzheimer que había tenido una recaída"".",TikTok posts,false,Fake,0
Sara Swann,"December 21, 2023",Video is evidence that Hillary Clinton is a reptile.,Instagram posts,pants-fire,Fake,0
Marta Campabadal,"• December 21,","""La administración acaba de aprobar este vacío legal, 100% legal, que permite a todos los residentes estadounidenses en buena posición obtener un permiso de portación oculta (de armas) válido en 2023"".",Facebook posts,false,Fake,0
Samantha Putterman,"December 21, 2023",Migrants who enter the U.S. illegally get U.S. passports immediately after leaving a border processing center.,X posts,false,Fake,0
Sara Swann,"December 21, 2023","Video shows Donald Trump advertising $6,400 spending cards.",Facebook posts,false,Fake,0
Marta Campabadal,"• December 20,","""MSNBC transmitió un video de este actor"" en la guerra entre Israel y Hamas.",TikTok posts,false,Fake,0
Sofia Ahmed,"December 20, 2023","During a speech former President Donald Trump said, “Even the lemonade is killing people” under President Joe Biden.",Facebook posts,pants-fire,Fake,0
Sara Swann,"December 19, 2023",“Texas Children’s Hospital pediatric clinics announce they will no longer treat unvaccinated children.”,Instagram posts,false,Fake,0
